イベントをスキップする	跳过事件
「ジュ・ク・リ」なんてどうかな？	“ジュ・クリ”怎么样？
「デブの素」で決まりだね！	用“胖子的本源”来决定吧！
そのゴムは、昨夜の相手だった男が出したものだよ	那个橡皮筋是昨天晚上对方的男人拿出来的
男には孤独にシコりたい時もあるのさ……	男人有时也会想要孤独地责备自己……
そのメイド秘書とエッチをしてたんで問題ないよ	和那个女仆秘书H没问题
このままトイレに出す	就这样上厕所
メイドの口で出す	用女仆的嘴说
メイドのおっぱいで出す	拿出女仆的奶
このまま口内射精で我慢しておく	就这样用嘴内射精忍耐着
ヒクヒクまんこにペニスを挿入する	在阴茎漫画里插入阴茎
イクときは声を上げさせる	好球的时候让它叫起来
イクときも声を抑えさせる	百战百胜也要压住声音
このままメイドを見送る	就这样目送女仆离开
嫌な予感がするので引き止める	因为有不好的预感所以作罢
ご主人様と以外は嫌だと言う	说不喜欢和主人以外的人
１回だけならいいと言う	只说一次就可以
[HF]に手を伸ばす	把手伸向[HF]
[HF1]に手を伸ばす	把手伸向[HF1]
[HF]に奉仕してもらう	请为[HF]服务
[HF1]に奉仕してもらう	请为[HF1]服务
[HF]を責める	谴责[HF]
[HF1]を責める	谴责[HF] 1
[HF]におねだりさせる	让[HF]睡觉
[HF]におねだりさせない	不让[HF]要求
アナルセックスをする	进行肛交
アナルセックスをしない	不进行肛门性行为
再生する	播放
再生しない	不播放
前穴	前孔
後穴	后穴
セックスまで許す	甚至允许做爱
奉仕だけにしてほしい	只想为我服务
新しいウェディングドレスを手配して式を挙げる	安排新的结婚礼服举行仪式
自分達が選んだ衣装で式を挙げる	穿着自己选的衣服举行仪式
新しいウェディングドレスに着替えてもらう	请换上新的结婚礼服
自分達が選んだ衣装に着替えてもらう	请换上自己选择的衣服
まずはご奉仕してもらう	先请人服务
今日はお尻で……	今天是屁股……
[HF]の口内に射精	射精在[HF]的口内
[HF1]の口内に射精	射精于[HF] 1的口腔内
どちらかなんて選べない	无法选择哪一个
[HF]を重点的に責める	重点谴责[HF]
[HF1]を重点的に責める	重点谴责[HF] 1
[HF]の方が気持ちよかった	[HF]感觉更好
[HF1]の方が気持ちよかった	[HF] 1更舒服
セックスをする	做爱
めったに来ないけど、美味しいものを食べてもらいたいからね	虽然不常来，但是我想让你吃好吃的
たまに来てるよ	偶尔会来哦
全然。いっつも牛丼屋だよ	完全没有。总是在牛肉盖饭店哦
劇場版アニメ	剧场版动画
原作付きのアニメ	有原作的动画
エロアニメ	工口动画
元気で明るくて、自分によく懐いてくれる妹みたいな子かな	是个活泼开朗，对自己很亲近的像妹妹一样的孩子吧
真面目で冷静な、でもちょっと初心な感じの子かな	认真冷静，但是有点初心的孩子吧
大人でエロくて、時には叱ってくれるお姉さんみたいな子かな	像是大人又好色，有时会训斥我的姐姐一样的孩子吧
半分は使って、半分は貯蓄に回すよ	一半用，一半存
ぱーっと全部使うかな	全部都用了吧
俺ならFXできるし……	我的话也能FX……
パティシエかな	是糕点师吧
保育士かな	保育员吗？
居酒屋の店員かな	是居酒屋的店员吧
家庭菜園とかどうだろう	家庭菜园怎么样？
映画とかどう？	看电影怎么样？
筋トレをしよう	锻炼肌肉吧
メイドのことを考えてるよ	我在想女仆哦
本を読んで落ち着いたりしてるよ	读书的时候很沉着
ひたすら寝てるよ	一个劲地睡觉
Ａ型かな	A型吧
Ｏ型かな	O型吧
もしかしてＡＢ型？	难道是AB型？
一人を満喫してるよ、ワインを飲みながら映画を見たり……	享受一个人的乐趣，一边喝红酒一边看电影……
何していいかわからないから、ぼーっとしちゃうかな	因为不知道该做什么，所以会发呆吧
ひたすらエロゲーをやってるよ	一个劲地玩工口游戏哦
ただお酒で身体が熱くなっただけだよ	只是因为酒身体发热而已
実は媚薬を入れたんだ	其实是放了媚药
実はエナジードリンクを入れたんだ	其实是加了能量饮料
早く寝ないと、明日の仕事に響くよ	不早点睡的话，会影响到明天的工作哦
夜といえばホラー映画でしょ	说到夜晚的话应该是恐怖电影吧
エッチなことはしたくないの？	不想做色情的事情吗？
笑顔が可愛くて、元気で、一生懸命なところ	笑容可爱、朝气、拼命努力的地方
自分にもよくわからない	自己也不太清楚
全部	全部
新婚旅行で行こうか	新婚旅行去吧
休みを作って行こう	制造假期去吧
時代はＶＲだよ	时代是VR
俺もコメディ映画好きだよ	我也喜欢喜剧电影
けっこうアクション映画が好きかな	相当喜欢动作片吧
ホラー映画が一番だね	恐怖电影是最好的
音楽を演奏するやつかな	是演奏音乐的家伙吧
ダンスを踊るやつかな	是跳舞的家伙吧
結婚式のサプライズかな	婚礼的惊喜吧
ゴールデンウィーク前後かな	黄金周前后吧
１年中休みたい	一年到头都想休息
クリスマスの日かな	是圣诞节吗？
エッチなことしてる時は短く感じるな	做色情的事情的时候不要感觉太短
仕事してる時は時間が長く感じるな	工作的时候感觉时间很长啊
時間を止めてる事が多いよ	很多时候都会停止时间
今度休みを取って行こう	下次请假去吧
実は俺も行きたいところがあるんだ	其实我也有想去的地方
すぐには無理かもしれないけど、いつか行こう	马上可能不行，但总有一天去吧
夫婦のほうが堂々とイチャイチャできるよ？	夫妇可以堂堂正正的亲亲你哦？
イチャイチャしたいの？	想亲亲你吗？
よし、セックスしよう	好吧，做爱吧
ドキドキしたよ	心跳不已
まだまだだね	还差得远呢
そうやって恥じらってくれるところかな	你这样做岂不是太丢脸了？
元気なところかな	是个很有精神的地方吧
体かな	身体吗？
でも、愛してるよ？	但是，我爱你
言わないほうがいいかな？	不说比较好吧？
なんてね、冗談だよ	说什么呢，开玩笑的
和食	日本菜
中華料理	中华料理
洋食	西餐
あえて答えず焦らしてみる	不假思索地着急一下
笑顔が好き	喜欢笑容
体が好き	喜欢身体
愛してると告白してみる	试着告白我爱你
ふとんがふっとんだ！	被子卷了！
猫騙ししてみる	骗猫试试
新人だったメイドが立派になったとき	新人女仆漂亮的时候
目をかけたメイドが活躍してるとき	看到女仆活跃的时候
可愛いメイドを見たとき	看到可爱的女仆的时候
水着が見たいので暖かい場所	因为想看泳衣所以暖和的地方
美味しいものが食べたいので寒い場所	因为想吃好吃的东西，所以在寒冷的地方
いや、ここは都会を見て回ろう	不，这里就环顾一下城市吧
なんだかんだで、エンパイアクラブで働くときかも	总觉得，可能是在帝国俱乐部工作的时候
一緒にわいわいするのが好きかも	也许喜欢一起吵吵嚷嚷
こっそり内緒で逢引する時とかかな……？	会不会是悄悄地秘密相会的时候呢……？
アクション映画みたいな活躍	像动作片一样的活跃
恋愛映画みたいなイベント	类似恋爱电影的活动
ホラー映画みたいな極限状態	像恐怖电影一样的极限状态
なるべく一人にしないこと	尽量不要一个人做
ぬいぐるみをリスペクトすること	尊重布娃娃
ちゃんと家事をすること	要好好做家务
ワンルームの物件	一室之物
広めの２ＬＤＫの物件	宽敞的双LDK的房子
新築デザイナーズマンション	新建设计师公寓
普段元気な子が寂しがるのはグッと来る	平时身体很好的孩子会感到寂寞
普段アホっぽい子が、考えてる姿がいい	平时很傻的孩子，思考的样子很好
チラッと胸が見えるだけで魅力がある	只要能一眼看到胸部就很有魅力
なら、もっと話をしようかと距離をつめる	那么，再进一步缩短距离吧
実は俺、緊張してるんだと言う	其实我很紧张
人懐っこいんだねと褒める	夸奖你很和蔼可亲
抹茶	抹茶
コーヒー	咖啡
カレー	咖喱
一人焼肉	一个人烤肉
一人スイーツめぐり	独自品尝甜点
一人風俗	一个人的风俗
[HF]と義文を近づけさせない。	不让[HF]和义文接近。
特に対策をしない。	没有特别的对策。
男だけど、スイーツ！	虽然是男人，但是甜品！
やっぱり和食が一番だね	果然和食是最好的
辛いものかな	是辣的东西吗？
ニュース番組が似合うね	适合做新闻节目呢
アニメをすすめる	推荐动画
アニメについて熱く語る	热烈谈论动画
しっかり者の優等生タイプがいいな	好好地人的优等生类型好
おっとりとしたお嬢様タイプかな	是稳重的大小姐类型吧
元気でノリがいいギャル！	很有精神很有节奏的辣妹！
